Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2024,Charles Turner,Louisiana State,C,75.75,303,9.38,34.00,,,,,,4.62,7.88,
2024,Dallas Turner,Alabama,OLB,75.25,247,9.88,34.38,,4.46,,40.5,127,,,
2024,David Ugwoegbu,Houston,OLB,75.75,250,10.25,33.75,,,,31.5,,,,
2024,Edefuan Ulofoshio,Washington,ILB,72.63,236,9.25,32.88,,4.56,,39.5,128,,,
2024,Sione Vaki,Utah,SS,71.38,210,8.63,29.13,,4.62,20,39.5,125,,,
2024,Sedrick Van Pran-Granger,Georgia,C,75.75,298,9.50,31.38,,5.20,,,,4.82,7.46,
2024,Devaughn Vele,Utah,WR,76.25,203,9.75,33.50,,4.47,,36.0,126,,,
2024,Jared Verse,Florida State,DE,75.63,254,9.88,33.50,,4.58,,35.0,127,4.44,7.31,
2024,Kimani Vidal,Troy (AL),RB,67.63,213,9.38,30.38,,4.46,18,37.5,120,,,
2024,Devontez Walker,North Carolina,WR,73.63,193,9.13,33.25,,4.36,,40.5,134,,,
2024,Caedan Wallace,Penn State,OT,76.75,314,10.75,34.00,,5.15,,,,,,
2024,Josh Wallace,Michigan,CB,71.13,185,8.88,31.38,,,13,34.5,120,4.35,,
2024,Trevin Wallace,Kentucky,OLB,73.25,237,9.13,32.63,,4.51,,37.5,127,,,
2024,Malik Washington,Virginia,WR,68.63,191,9.25,30.38,,4.47,19,42.5,126,,,
2024,Tahj Washington,Southern California,WR,69.88,174,8.38,29.13,,,,35.0,122,,,
2024,Nathaniel Watson,Mississippi State,ILB,74.13,233,9.88,32.88,,4.63,,31.0,111,,,
2024,Eric Watts,Connecticut,DE,77.50,274,9.75,35.75,,4.67,,36.5,117,4.73,7.59,
2024,Ryan Watts,Texas,FS,74.75,208,9.38,34.50,,4.53,,40.5,125,4.13,6.82,
2024,Xavier Weaver,Colorado,WR,72.25,169,8.88,31.13,,,,,,,,
2024,Jack Westover,Washington,TE,74.75,243,9.13,32.13,,,,,,,,
2024,Jordan Whittington,Texas,WR,72.63,205,10.00,30.38,,,18,,,,,
2024,Nate Wiggins,Clemson,CB,73.00,173,9.00,30.50,,4.28,,36.0,127,,,
2024,Jared Wiley,Texas Christian,TE,78.00,249,9.50,33.25,,4.62,,37.0,118,,7.19,
2024,Michael Wiley,Arizona,RB,70.63,210,9.25,30.00,,4.51,,33.5,119,,,
2024,Caleb Williams,Southern California,QB,72.63,214,9.75,32.00,,,,,,,,
2024,Evan Williams,Oregon,SS,71.38,200,10.13,30.13,,4.60,,40.5,126,,,
2024,Isaiah Williams,Illinois,WR,68.88,182,9.13,30.13,,4.63,17,38.0,123,,6.75,
2024,James Williams,Miami (FL),SS,76.38,231,9.50,33.63,,4.65,,30.0,117,,,
2024,Miyan Williams,Ohio State,RB,68.63,229,9.00,28.63,,,,,,,,
2024,Johnny Wilson,Florida State,WR,78.13,231,10.00,35.38,,4.52,,37.0,128,4.11,,
2024,Payton Wilson,North Carolina State,OLB,76.13,233,9.00,30.50,,4.43,,34.5,119,,,
2024,Roman Wilson,Michigan,WR,70.50,185,9.75,30.38,,4.39,12,,,,,
2024,Mekhi Wingo,Louisiana State,DT,72.25,284,9.25,32.00,,4.85,25,31.5,109,,,
2024,Xavier Worthy,Texas,WR,71.25,165,8.75,31.13,,4.21,,41.0,131,,,
2024,Jaylen Wright,Tennessee,RB,70.63,210,9.38,31.50,,4.38,,38.0,134,,,
2024,Zak Zinter,Michigan,OG,77.75,309,9.38,33.50,,,,,,,,
